Date,Open,Volume,Low,Close,High
2025-01-02,421.452011579828,16896500,410.8743686174563,414.568603515625,421.9868450538027
2025-01-03,417.0446425061394,16662900,415.5194225803269,419.29290771484375,419.9663838035234
2025-01-06,423.8983123069827,20573600,421.4024733118246,423.749755859375,430.1577525838614
2025-01-07,424.8887636901725,18139100,416.7673346717813,418.3222961425781,426.52294519780327
2025-01-08,419.40180766065134,15054600,417.5002247025303,420.49127197265625,422.8781796209664
2025-01-10,420.5606177895156,20201100,411.042698272716,414.93505859375,420.63983782074297
2025-01-13,411.2606308642647,17604800,408.3389196630922,413.1919555664063,414.489399057034
2025-01-14,413.8059687860609,16935900,406.783918522941,411.6864929199219,415.7174656234234
2025-01-15,415.11333355996726,19637800,414.2615595275802,422.2245178222656,424.04688082339095
2025-01-16,424.5916197701724,15300000,420.3229265289763,420.5110778808594,425.3740271428382
2025-01-17,429.9299320188306,26197500,424.0666827581059,424.9184265136719,430.3162089952725
2025-01-21,426.07727516253885,26085700,421.52135231106814,424.3935546875,426.770548715405
2025-01-22,433.366705345479,27803800,431.82165779523024,441.9239196777344,442.98364251820686
2025-01-23,437.7641621247137,18389300,437.2689537965184,442.4290161132813,442.4686412425698
2025-01-24,440.8938771960258,15549500,437.169900939795,439.8044128417969,442.3695883246394
2025-01-27,419.9465634582157,35647800,419.4414413066827,430.39544677734375,431.0293279263355
2025-01-28,430.435111003789,23491700,427.2459679678923,442.9143676757813,444.0830521471353
2025-01-29,442.409205107017,23581400,436.1794760661476,438.0909729003906,442.5973866839753
2025-01-30,414.7567742579652,54586300,409.20055129765046,411.0130004882813,418.8075747745586
2025-01-31,414.96475222570615,34161900,410.9337494652752,411.0823059082031,416.65835612531487
2025-02-03,407.6555012178145,25679100,404.7436738342851,406.9820251464844,411.42898625512174
2025-02-04,408.73506192939664,20532100,405.81332063447735,408.4181213378906,409.9532853263689
2025-02-05,408.39832109505767,16316700,406.4669964929513,409.3293151855469,409.8641184268012
2025-02-06,410.0324869601977,16309800,410.0324869601977,411.8350524902344,414.1922489179567
2025-02-07,412.4887264302527,22886800,404.1890302854019,405.8232116699219,414.6379135781928
2025-02-10,409.7453035648024,20817900,406.9820626052782,408.26959228515625,411.4785328704724
2025-02-11,405.714301867279,18140600,405.3775335991668,407.4970397949219,408.5369652151938
2025-02-12,403.30754628100544,19121700,400.4947666868975,405.1200256347656,406.813629604169
2025-02-13,403.0995987756991,23891700,402.4657175766924,406.6056823730469,407.06126559413343
2025-02-14,403.8819877256042,22758500,401.990288420934,404.5158386230469,404.9912494649655
2025-02-18,404.0899662104477,21423100,402.6043413346739,405.7142639160156,406.6650553734785
2025-02-19,403.9711799574196,24114200,403.7433732288774,410.7951354980469,411.5082367513966
2025-02-20,412.134891295379,23508700,409.40578409861945,412.968505859375,416.1243389128722
2025-02-21,414.16928284227896,27524800,404.79109677447474,405.108642578125,414.8738801834256
2025-02-24,405.4063787741937,26443700,396.2861968407472,400.9306335449219,406.2598304371672
2025-02-25,398.0526532749328,29387400,393.6860882830661,394.876953125,398.8664306026397
2025-02-26,394.9861511086002,19619000,391.25470780563023,396.6930847167969,400.5336777638087
2025-02-27,398.22134834414993,21127400,389.1905096396701,389.5477600097656,402.657388820498
2025-02-28,389.67678725566606,32845700,383.6330593862238,393.973876953125,394.6090291195634
2025-03-03,395.7899873220531,23007700,383.2261675615013,385.5384521484375,395.7899873220531
2025-03-04,380.48712304915495,29342900,378.1053630399061,385.6575317382813,389.59737098453536
2025-03-05,386.3820118850688,23433100,385.85603973587394,397.9732666015625,398.6183524988304
2025-03-06,391.2844475744962,23304600,389.69659755352575,393.8746337890625,399.09465022585215
2025-03-07,389.3394000020522,22034100,382.6109115042311,390.3218688964844,391.8005390969085
2025-03-10,382.9085982783761,32840100,374.3540930979484,377.2717590332031,383.4643412864511
2025-03-11,376.1205744700273,30380200,374.0464567305875,377.5595703125,383.0673924681545
2025-03-12,380.0405779726452,24253600,376.0709676751301,380.3581237792969,382.2933209136247
2025-03-13,380.2489652043101,20473000,374.58235511618193,375.8923034667969,382.3925583494832
2025-03-14,376.8946473094157,19952800,376.6267095180303,385.6079406738281,387.2652662935844
2025-03-17,383.7620820869245,22474300,382.6406623483486,385.7468872070313,389.7264008785539
2025-03-18,384.1292790671939,19486900,378.2046343736099,380.6062316894531,384.4269877309022
2025-03-19,382.60095534567967,19185500,381.0825806498319,384.8735656738281,386.719419886704
2025-03-20,382.80938253905,18470500,380.3680805381929,383.9010314941406,388.81343664918575
2025-03-21,380.3085198055768,39675900,379.8916973941909,388.2874450683594,388.76377892625936
2025-03-24,392.3959786933822,21004500,386.84845184017416,390.0935974121094,392.3959786933822
2025-03-25,390.9272064692555,15775000,389.65693247956807,392.1577758789063,393.3486407085202
2025-03-26,391.9990163975736,16108400,385.61787512073846,387.0072326660156,392.3066587723948
2025-03-27,387.1660163642304,13766800,384.4567464670721,387.6125793457031,389.259971232933
2025-03-28,385.13158343812927,21632000,374.0663006272135,375.9220886230469,386.1736243280803
2025-03-31,369.7096714477169,35184700,364.4499195195616,372.53802490234375,374.2052539943911
