Date,Open,Volume,Low,Close,High
2025-01-02,135.95545329338754,198247200,134.58590691715995,138.2646942138672,138.8345148325783
2025-01-03,139.96413776465596,229322500,139.68423069189672,144.4226837158203,144.85253555834646
2025-01-06,148.5413213081193,265377400,147.77158452702758,149.38104248046875,152.11015917129038
2025-01-07,152.97986196669754,351782200,139.9641234037018,140.09408569335938,153.07983530547875
2025-01-08,142.5332942493383,227349900,137.51493447299714,140.06410217285156,143.90284057175748
2025-01-10,137.40498271998055,207602500,134.17604480086774,135.86549377441406,139.87417502688794
2025-01-13,129.94744151880715,204808900,129.46758770744978,133.18637084960938,133.44629547754278
2025-01-14,136.00543044799826,195590500,130.00739616366573,131.71682739257812,136.33532416409136
2025-01-15,133.60622538989423,185217300,131.24699764678536,136.1953887939453,136.4053114797544
2025-01-16,138.59457607585483,209235600,133.44626949753135,133.5262451171875,138.70454064615834
2025-01-17,136.6452315490251,201188800,135.41563868932835,137.66490173339844,138.45463626831489
2025-01-21,139.1144233323199,197749000,137.0450940162502,140.78387451171875,141.78354697270905
2025-01-22,144.61265106638749,237651400,143.6229696388165,147.02186584472656,147.74161612847584
2025-01-23,145.0024960002277,155915500,143.67292977388993,147.17178344726562,147.18177468068177
2025-01-24,148.32138900097752,234657600,141.83352489203162,142.57327270507812,148.92119854206575
2025-01-27,124.75912547322824,818830900,116.66177248371496,118.38121032714844,128.3579371600633
2025-01-28,121.77009783396647,579666400,116.21192149182428,128.94775390625,128.95774513931468
2025-01-29,126.458570906435,467120600,120.0106863497111,123.65948486328124,126.84844257022412
2025-01-30,123.05968123503553,392925500,118.06131881584726,124.6091766357422,124.9590604797062
2025-01-31,123.73945402173636,388161100,119.15096116009845,120.03067016601562,127.80812056780856
2025-02-03,114.71241754878405,371235700,112.9729895620065,116.62179565429688,118.53116613291392
2025-02-04,116.92168851369838,256550000,116.66177154188584,118.61113739013672,121.16029755445564
2025-02-05,121.72011429490168,262230800,120.72044188886218,124.7891082763672,124.95905075493906
2025-02-06,127.378250952721,251483600,125.16897594069349,128.63783264160156,128.7278147473564
2025-02-07,129.17766285547097,228186300,124.95904429961288,129.79745483398438,130.32727996151158
2025-02-10,130.04737430419848,216989100,129.91742726932324,133.5262451171875,134.95576927734325
2025-02-11,132.5365863252507,178902400,130.9770996135579,132.7565155029297,134.43595803743202
2025-02-12,129.97741762356085,160278600,129.03772306980744,131.0970458984375,132.19669170682792
2025-02-13,131.51690772043457,197430000,131.127036067263,135.2456817626953,136.45529216313562
2025-02-14,136.4353006772254,195479600,135.4556258828613,138.80453491210938,139.20439781688884
2025-02-18,141.2237529999524,219176600,137.88483491061234,139.35435485839844,143.3930407195906
2025-02-19,139.46429426521587,167536000,137.17505112782226,139.18438720703125,141.3136943495984
2025-02-20,139.98412654948388,143903600,136.74518244514988,140.06410217285156,140.61392504988532
2025-02-21,139.99411868487,228217600,133.98609294492073,134.38595581054688,141.41366694156105
2025-02-24,136.51527743543022,251381100,130.03740375103862,130.23733520507812,138.544611438826
2025-02-25,129.93742515974864,271428700,124.39924631174092,126.5885238647461,130.1573543264651
2025-02-26,129.9474287481865,322553800,128.44792005609298,131.23699951171875,133.68619399137987
2025-02-27,134.9557838016939,443175800,119.97069557287364,120.11064910888672,134.96577503505506
2025-02-28,117.98134023479652,389091100,116.36187573271177,124.87908172607422,125.04902421361967
2025-03-03,123.46954557652552,411381400,112.2432206852501,114.02263641357422,123.65947815441596
2025-03-04,110.61375634258968,398163300,110.07393231302608,115.9520034790039,119.27091565466138
2025-03-05,117.54148848655969,284337900,114.47249437052442,117.26158142089844,118.2412561507128
2025-03-06,113.49281250827369,321181900,110.18389912538346,110.53378295898438,115.31221606989396
2025-03-07,111.21356065439608,341755500,107.52476685365718,112.65309143066406,113.44283358559466
2025-03-10,109.86399541986673,366487400,105.42544763902806,106.94495391845705,111.8133534982648
2025-03-11,106.95495594173272,354865700,104.73568182740638,108.72438049316406,112.2032364343548
2025-03-12,114.09312447156262,323857500,112.85341103244578,115.71273803710938,116.7325020716217
2025-03-13,117.0024278677365,299033100,113.76319330991836,115.55277252197266,117.73225924433854
2025-03-14,118.5820578648422,277593500,118.12216714928688,121.6413345336914,121.85128414551468
2025-03-17,122.711081524258,255501500,118.00219206936818,119.50183868408205,122.86104771124882
2025-03-18,117.97219563901088,299686900,114.51301183473794,115.40280151367188,118.99195194008684
2025-03-19,117.24236085578976,273426200,115.65273921562084,117.49230194091795,120.42161176372424
2025-03-20,116.52253841801044,248829700,116.4425554391302,118.50206756591795,120.17167220516042
2025-03-21,116.91244866461768,266498500,115.39280254041712,117.6722640991211,117.9621966837067
2025-03-24,119.8517551027078,228452500,119.31188140429414,121.38140106201172,122.19120779583362
2025-03-25,120.5216012824151,167447200,118.89198043130344,120.66156768798828,121.26142480153008
2025-03-26,118.70203035263673,293463300,112.68344440410922,113.7332000732422,118.81199741904776
2025-03-27,111.32376457585453,236902100,110.63393232562052,111.40374755859376,114.42303269482778
2025-03-28,111.46372827094804,229872500,109.04430030890693,109.64415740966795,112.84340799305504
2025-03-31,105.10522740758996,299212700,103.6255803841977,108.35446166992188,110.9338556226425
